City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,komsomolskiy,40.4272,71.7189,287.55,67,100,2.06,UZ,1678562689
84,pyinmana,19.7333,96.2167,296.25,30,77,0.91,MM,1678563214
85,mataura,-46.1927,168.8643,284.42,73,100,1.64,NZ,1678562665
86,kahului,20.8947,-156.47,298.13,71,20,1.34,US,1678562732
87,jining,35.405,116.5814,280.53,21,100,9.02,CN,1678563215
88,port elizabeth,-33.918,25.5701,293.31,75,100,5.66,ZA,1678562676
89,haines junction,60.7522,-137.5108,263.12,48,49,2.06,CA,1678563216
90,hamilton,39.1834,-84.5333,281.62,54,40,2.57,US,1678562827
91,wingham,43.8879,-81.3114,271.7,76,100,3.86,CA,1678563008
92,coquimbo,-29.9533,-71.3436,297.0,56,0,4.12,CL,1678562610
93,ixtapa,20.7,-105.2,298.72,69,40,3.09,MX,1678563218
94,sao filipe,14.8961,-24.4956,298.14,60,0,3.46,CV,1678562704
95,dikson,73.5069,80.5464,257.42,93,100,6.14,RU,1678562660
96,xapuri,-10.6517,-68.5044,296.01,98,100,1.28,BR,1678563219
97,qaanaaq,77.484,-69.3632,254.32,72,0,2.04,GL,1678562654
98,unecha,52.8459,32.6739,277.91,98,100,5.79,RU,1678563220
99,derzhavinsk,51.1,66.3167,274.07,100,100,4.62,KZ,1678563220
100,new norfolk,-42.7826,147.0587,286.42,62,12,0.45,AU,1678562716
101,nove zamky,47.9854,18.1619,277.05,47,41,7.12,SK,1678563221
102,michigan city,41.7075,-86.895,280.27,65,100,3.09,US,1678563221
103,yarim,14.298,44.3779,286.72,72,99,1.64,YE,1678563222
104,nizhnekamsk,55.6366,51.8245,268.59,58,0,2.0,RU,1678563128
105,emerald,-23.5333,148.1667,296.12,96,57,4.0,AU,1678563223
106,koutsouras,35.0339,25.9469,289.88,83,100,8.03,GR,1678563223
107,idenao,4.2475,9.0047,299.82,84,100,1.97,CM,1678563226
108,arraial do cabo,-22.9661,-42.0278,300.13,69,40,7.2,BR,1678562678
109,coahuayana,18.7333,-103.6833,303.36,49,8,3.36,MX,1678563226
110,butaritari,3.0707,172.7902,300.73,75,4,7.23,KI,1678562683
111,vestmannaeyjar,63.4427,-20.2734,266.14,48,55,4.05,IS,1678562806
112,xuanhua,40.6103,115.0447,268.58,19,0,9.16,CN,1678563228
113,bekhtery,46.251,32.2927,281.42,97,100,9.63,UA,1678563228
114,xifeng,42.7372,124.7222,268.87,25,99,5.85,CN,1678563229
115,anadyr,64.75,177.4833,248.43,84,0,6.0,RU,1678562717
116,manakara,-22.1333,48.0167,296.35,83,99,1.14,MG,1678563230
117,sisimiut,66.9395,-53.6735,263.32,76,4,1.67,GL,1678563230
118,luderitz,-26.6481,15.1594,292.04,70,0,10.22,NA,1678562681
119,nanzhang,31.7765,111.8386,287.96,24,100,6.7,CN,1678563231
120,castro,-24.7911,-50.0119,294.08,91,100,2.97,BR,1678562696
121,mount gambier,-37.8333,140.7667,285.26,95,25,2.25,AU,1678562872
